iter	Passed	Remaining
624	2027	1216
625	2030	1213
626	2033	1209
627	2037	1206
628	2040	1203
629	2044	1200
630	2047	1197
631	2051	1194
632	2054	1191
633	2058	1188
634	2062	1185
635	2065	1182
636	2068	1178
637	2072	1176
638	2076	1173
639	2080	1170
640	2083	1167
641	2087	1163
642	2090	1160
643	2094	1157
644	2097	1154
645	2101	1151
646	2104	1148
647	2108	1145
648	2111	1141
649	2114	1138
650	2118	1135
651	2122	1132
652	2125	1129
653	2128	1126
654	2132	1123
655	2136	1120
656	2140	1117
657	2143	1114
658	2147	1111
659	2150	1108
660	2154	1105
661	2158	1101
662	2161	1098
663	2165	1095
664	2168	1092
665	2172	1089
666	2176	1086
667	2179	1083
668	2183	1080
669	2186	1076
670	2189	1073
671	2192	1070
672	2196	1067
673	2199	1063
674	2203	1060
675	2206	1057
676	2209	1054
677	2212	1050
678	2215	1047
679	2219	1044
680	2223	1041
681	2226	1038
682	2229	1034
683	2232	1031
684	2236	1028
685	2239	1024
686	2242	1021
687	2245	1018
688	2248	1014
689	2251	1011
690	2254	1008
691	2257	1004
692	2260	1001
693	2264	998
694	2267	994
695	2270	991
696	2273	988
697	2276	985
698	2279	981
699	2282	978
700	2286	975
701	2288	971
702	2291	968
703	2294	964
704	2297	961
705	2301	958
706	2304	954
707	2307	951
708	2310	948
709	2313	944
710	2316	941
711	2319	938
712	2322	934
713	2326	931
714	2329	928
715	2332	925
716	2335	921
717	2338	918
718	2341	915
719	2344	911
720	2347	908
721	2351	905
722	2354	902
723	2357	898
724	2360	895
725	2364	892
726	2367	889
727	2371	886
728	2375	882
729	2378	879
730	2381	876
731	2385	873
732	2388	869
733	2392	866
734	2395	863
735	2399	860
736	2403	857
737	2406	854
738	2410	851
739	2413	848
740	2417	844
741	2420	841
742	2423	838
743	2427	835
744	2431	832
745	2434	828
746	2437	825
747	2441	822
748	2445	819
749	2448	816
750	2451	812
751	2455	809
752	2458	806
753	2461	803
754	2464	799
755	2468	796
756	2471	793
757	2474	790
758	2477	786
759	2480	783
760	2483	780
761	2487	776
762	2490	773
763	2493	770
764	2496	766
765	2499	763
766	2503	760
767	2506	757
768	2509	753
769	2512	750
770	2515	747
771	2518	743
772	2521	740
773	2524	737
774	2527	733
775	2530	730
776	2533	727
777	2536	723
778	2540	720
779	2543	717
780	2546	714
781	2549	710
782	2552	707
783	2556	704
784	2559	700
785	2562	697
786	2565	694
787	2569	691
788	2572	687
789	2575	684
790	2578	681
791	2581	678
792	2585	674
793	2588	671
794	2592	668
795	2595	665
796	2599	662
797	2602	658
798	2605	655
799	2608	652
800	2611	648
801	2614	645
802	2617	642
803	2621	639
804	2624	635
805	2627	632
806	2630	629
807	2634	625
808	2637	622
809	2640	619
810	2643	616
811	2647	612
812	2650	609
813	2654	606
814	2657	603
815	2660	599
816	2663	596
817	2666	593
818	2669	590
819	2672	586
820	2676	583
821	2679	580
822	2682	576
823	2685	573
824	2688	570
825	2691	566
826	2694	563
827	2697	560
828	2701	557
829	2704	553
830	2707	550
831	2711	547
832	2714	544
833	2717	540
834	2720	537
835	2723	534
836	2726	531
837	2729	527
838	2733	524
839	2736	521
840	2739	517
841	2742	514
842	2746	511
843	2749	508
844	2752	504
845	2755	501
846	2759	498
847	2763	495
848	2766	491
849	2769	488
850	2772	485
851	2775	482
852	2778	478
853	2781	475
854	2784	472
855	2787	468
856	2790	465
857	2794	462
858	2797	459
859	2801	455
860	2804	452
861	2808	449
862	2811	446
863	2815	443
864	2818	439
865	2822	436
866	2825	433
867	2828	430
868	2831	426
869	2834	423
870	2837	420
871	2841	417
872	2844	413
873	2847	410
874	2851	407
875	2854	404
876	2858	400
877	2862	397
878	2865	394
879	2868	391
880	2872	387
881	2875	384
882	2879	381
883	2882	378
884	2885	374
885	2889	371
886	2892	368
887	2895	365
888	2898	361
889	2901	358
890	2904	355
891	2907	352
892	2911	348
893	2914	345
894	2917	342
895	2920	338
896	2923	335
897	2926	332
898	2929	329
899	2932	325
900	2935	322
901	2938	319
902	2942	316
903	2945	312
904	2948	309
905	2951	306
906	2954	302
907	2957	299
908	2961	296
909	2969	293
910	2972	290
911	2976	287
912	2979	283
913	2982	280
914	2985	277
915	2989	274
916	2992	270
917	2995	267
918	2998	264
919	3001	261
920	3004	257
921	3007	254
922	3010	251
923	3013	247
924	3016	244
925	3019	241
926	3022	238
927	3025	234
928	3028	231
929	3031	228
930	3034	224
931	3037	221
932	3040	218
933	3043	215
934	3046	211
935	3050	208
936	3053	205
937	3056	201
938	3059	198
939	3062	195
940	3065	192
941	3068	188
942	3071	185
943	3074	182
944	3077	179
945	3080	175
946	3083	172
947	3086	169
948	3089	166
949	3092	162
950	3096	159
951	3099	156
952	3102	152
953	3105	149
954	3108	146
955	3112	143
956	3115	139
957	3118	136
958	3121	133
959	3124	130
960	3127	126
961	3130	123
962	3133	120
963	3137	117
964	3140	113
965	3143	110
966	3147	107
967	3150	104
968	3153	100
969	3156	97
970	3159	94
971	3163	91
972	3166	87
973	3169	84
974	3172	81
975	3175	78
976	3178	74
977	3182	71
978	3185	68
979	3188	65
980	3192	61
981	3195	58
982	3199	55
983	3202	52
984	3206	48
985	3209	45
986	3212	42
987	3216	39
988	3219	35
989	3222	32
990	3226	29
991	3229	26
992	3233	22
993	3236	19
994	3239	16
995	3242	13
996	3246	9
997	3249	6
998	3252	3
999	3256	0
