idseaConditionFact,bulk,texture,shape,uniformity,score,date,idspot
197,0,1,3,1,2,4/13/2020 8:00,386
198,1,1,3,2,5,4/13/2020 9:00,386
199,1,2,1,1,3,4/13/2020 10:00,386
200,0,2,1,0,1,4/13/2020 13:00,386
201,1,3,3,0,3,4/14/2020 7:00,386
202,1,2,1,0,3,4/14/2020 9:00,386
203,1,3,3,0,2,4/14/2020 11:00,386
204,2,3,3,1,5,4/14/2020 13:00,386
205,1,3,1,0,2,4/14/2020 16:00,386
206,2,3,3,1,5,4/14/2020 17:00,386
207,1,1,1,2,4,4/15/2020 7:00,386
208,1,2,1,1,2,4/15/2020 9:00,386
209,1,1,1,2,2,4/15/2020 10:00,386
210,0,2,1,1,1,4/15/2020 16:00,386
211,1,1,4,2,3,4/16/2020 7:00,386
212,0,2,3,2,1,4/16/2020 9:00,386
213,0,1,4,2,2,4/16/2020 15:00,386
214,1,1,3,2,2,4/17/2020 10:00,386
215,1,1,2,2,5,4/13/2020 7:00,380
216,1,1,1,2,4,4/13/2020 8:00,380
217,1,2,3,1,2,4/13/2020 11:00,380
218,1,2,1,2,2,4/13/2020 13:00,380
219,0,2,1,0,1,4/14/2020 7:00,380
220,0,3,1,0,1,4/14/2020 10:00,380
221,1,3,2,1,3,4/14/2020 15:00,380
222,1,2,3,1,4,4/14/2020 16:00,380
223,1,2,3,1,3,4/15/2020 7:00,380
224,1,1,2,2,6,4/15/2020 8:00,380
225,1,1,3,1,4,4/15/2020 12:00,380
226,0,3,3,0,1,4/15/2020 14:00,380
227,0,1,3,2,1,4/16/2020 6:00,380
228,1,1,4,2,4,4/16/2020 8:00,380
229,0,1,3,2,2,4/16/2020 12:00,380
230,0,1,4,2,1,4/17/2020 7:00,380
231,0,1,4,2,0,4/18/2020 7:00,380
232,0,1,3,0,1,4/19/2020 7:00,380
233,0,2,3,1,1,4/17/2020 12:00,386
234,0,1,3,2,1,4/18/2020 6:00,386
235,0,2,3,2,1,4/18/2020 17:00,386
236,0,1,1,1,1,4/19/2020 7:00,386
237,1,2,3,1,3,4/19/2020 12:00,386
238,0,1,1,1,1,4/20/2020 8:00,386
239,1,2,1,0,2,4/20/2020 11:00,386
240,1,3,1,0,2,4/20/2020 16:00,386
241,1,1,1,1,3,4/20/2020 6:00,380
242,0,1,1,1,1,4/20/2020 9:00,380
243,1,2,3,1,3,4/20/2020 12:00,380
244,1,3,3,0,2,4/20/2020 13:00,380
245,0,3,3,0,1,4/20/2020 15:00,380
246,1,1,1,1,5,4/21/2020 7:00,386
247,1,2,1,0,4,4/21/2020 10:00,386
248,1,2,3,1,5,4/21/2020 12:00,386
249,1,2,3,0,3,4/21/2020 15:00,386
